Rapporto IT60Y0200801000100000012345 - BIANCHI MARIO;;;;
;;;;
Data;;Descrizione;EUR;Caus.
Operaz.;Valuta;;;
28/06/2026;28/06/2026;PAGAMENTO POS FARMACIA CENTRALE MILANO;-21,70;280
21/06/2026;21/06/2026;COMMISSIONI E SPESE TENUTA CONTO;-3,13;016
19/06/2026;20/06/2026;BONIFICO A VOSTRO FAVORE ACME SRL EMOLUMENTI;2.475,41;048
12/06/2026;12/06/2026;BONIFICO A VOSTRO FAVORE ACME SRL EMOLUMENTI;2.467,47;048
11/06/2026;11/06/2026;PRELIEVO ATM MILANO VIA MANZONI;-156,02;043
03/06/2026;03/06/2026;PAGAMENTO POS Q8 MILANO;-36,70;280
21/05/2026;21/05/2026;PAGAMENTO POS FARMACIA CENTRALE MILANO;-40,71;280
17/05/2026;17/05/2026;PAGAMENTO POS FARMACIA CENTRALE MILANO;-12,10;280
16/05/2026;17/05/2026;PRELIEVO ATM MILANO VIA MANZONI;-184,91;043
28/04/2026;28/04/2026;PAGAMENTO POS FARMACIA CENTRALE MILANO;-17,39;280
26/04/2026;27/04/2026;PAGAMENTO POS ESSELUNGA MILANO;-40,90;280
25/04/2026;26/04/2026;BONIFICO A VOSTRO FAVORE ACME SRL EMOLUMENTI;2.480,40;048
21/04/2026;21/04/2026;BONIFICO A VOSTRO FAVORE ACME SRL EMOLUMENTI;2.481,85;048
19/04/2026;20/04/2026;COMMISSIONI E SPESE TENUTA CONTO;-1,14;016
17/04/2026;18/04/2026;BONIFICO A VOSTRO FAVORE ACME SRL EMOLUMENTI;2.474,39;048
04/04/2026;04/04/2026;PAGAMENTO POS ESSELUNGA MILANO;-13,46;280
03/04/2026;03/04/2026;PAGAMENTO POS ESSELUNGA MILANO;-47,21;280
25/03/2026;25/03/2026;ADDEBITO SEPA DD PER FATTURA A VOSTRO CARICO ENEL ENERGIA;-91,18;198
24/03/2026;25/03/2026;PRELIEVO ATM MILANO VIA MANZONI;-118,50;043
17/03/2026;17/03/2026;PAGAMENTO POS ESSELUNGA MILANO;-69,24;280
14/02/2026;15/02/2026;PAGAMENTO POS FARMACIA CENTRALE MILANO;-28,79;280
13/02/2026;14/02/2026;PAGAMENTO POS Q8 MILANO;-45,37;280
13/01/2026;14/01/2026;PRELIEVO ATM MILANO VIA MANZONI;-195,77;043
11/01/2026;11/01/2026;COMMISSIONI E SPESE TENUTA CONTO;-1,60;016
05/01/2026;05/01/2026;ADDEBITO SEPA DD PER FATTURA A VOSTRO CARICO ENEL ENERGIA;-85,14;198
02/01/2026;02/01/2026;BONIFICO A VOSTRO FAVORE ACME SRL EMOLUMENTI;2.483,27;048
