Current Accounts Summaries

Personal Account (EUR)
Account number,LT313250048123456789
Financial institution name,Revolut Bank UAB
Holding modalities,Individual

"Transaction statement from Jan 1, 2025 to Jun 30, 2026"
Date,Description,Category,Money in/out,Balance,Tax withheld,Other taxes,Fees
"Jan 3, 2025",ATM Milano,Transport,-2.20,347.80,,,
"Jan 4, 2025",Lidl,Groceries,-22.06,325.74,,,
"Jan 4, 2025",Sushi Daily,Restaurants,-34.39,291.35,,,
"Jan 5, 2025",To Giulia Verdi,Transfers,-53.49,237.86,,,
"Jan 6, 2025",Top-Up by *4523,Transfers,300.00,537.86,,,
"Jan 13, 2025",Penny Market,Groceries,-30.34,507.52,,,
"Jan 14, 2025",Netflix.com,Entertainment,-12.99,494.53,,,
"Jan 20, 2025",Spotify,Entertainment,-10.99,483.54,,,
"Jan 20, 2025",Trenord,Transport,-2.20,481.34,,,
"Jan 24, 2025",ATM Milano,Transport,-2.20,479.14,,,
"Jan 25, 2025",Lidl,Groceries,-25.00,454.14,,,
"Jan 26, 2025",ATM Milano,Transport,-2.20,451.94,,,
"Feb 6, 2025",Top-Up by *4523,Transfers,300.00,751.94,,,
"Feb 10, 2025",Bar Luce,Cafes,-53.67,698.27,,,
"Feb 14, 2025",Netflix.com,Entertainment,-12.99,685.28,,,
"Feb 15, 2025",Carrefour Express,Groceries,-30.07,655.21,,,
"Feb 20, 2025",Spotify,Entertainment,-10.99,644.22,,,
"Feb 21, 2025",Sushi Daily,Restaurants,-54.82,589.40,,,
"Feb 22, 2025",Lidl,Groceries,-13.92,575.48,,,
"Feb 23, 2025",ATM Milano,Transport,-2.20,573.28,,,
"Feb 26, 2025",Trenord,Transport,-2.20,571.08,,,
"Mar 4, 2025",To Giulia Verdi,Transfers,-53.68,517.40,,,
"Mar 5, 2025",Sushi Daily,Restaurants,-20.40,497.00,,,
"Mar 6, 2025",Top-Up by *4523,Transfers,300.00,797.00,,,
"Mar 9, 2025",Bar Luce,Cafes,-36.07,760.93,,,
"Mar 9, 2025",ATM Milano,Transport,-2.20,758.73,,,
"Mar 11, 2025",Carrefour Express,Groceries,-22.76,735.97,,,
"Mar 12, 2025",Pizzeria Spontini,Restaurants,-9.97,726.00,,,
"Mar 14, 2025",Netflix.com,Entertainment,-12.99,713.01,,,
"Mar 20, 2025",Spotify,Entertainment,-10.99,702.02,,,
"Mar 22, 2025",Carrefour Express,Groceries,-21.82,680.20,,,
"Mar 24, 2025",ATM Milano,Transport,-2.20,678.00,,,
"Apr 2, 2025",Sushi Daily,Restaurants,-54.32,623.68,,,
"Apr 6, 2025",Top-Up by *4523,Transfers,300.00,923.68,,,
"Apr 6, 2025",Trenord,Transport,-2.20,921.48,,,
"Apr 9, 2025",To Giulia Verdi,Transfers,-58.59,862.89,,,
"Apr 11, 2025",Trenord,Transport,-2.20,860.69,,,
"Apr 14, 2025",Netflix.com,Entertainment,-12.99,847.70,,,
"Apr 14, 2025",Lidl,Groceries,-41.39,806.31,,,
"Apr 15, 2025",Lidl,Groceries,-25.97,780.34,,,
"Apr 20, 2025",Spotify,Entertainment,-10.99,769.35,,,
"Apr 24, 2025",Trenord,Transport,-2.20,767.15,,,
"May 6, 2025",Top-Up by *4523,Transfers,300.00,"1,067.15",,,
"May 6, 2025",ATM Milano,Transport,-2.20,"1,064.95",,,
"May 6, 2025",To Giulia Verdi,Transfers,-48.41,"1,016.54",,,
"May 8, 2025",Carrefour Express,Groceries,-26.72,989.82,,,
"May 11, 2025",Sushi Daily,Restaurants,-16.26,973.56,,,
"May 13, 2025",Lidl,Groceries,-40.59,932.97,,,
"May 14, 2025",Netflix.com,Entertainment,-12.99,919.98,,,
"May 20, 2025",Spotify,Entertainment,-10.99,908.99,,,
"May 21, 2025",Trenord,Transport,-2.20,906.79,,,
"May 23, 2025",ATM Milano,Transport,-2.20,904.59,,,
"May 23, 2025",Trenord,Transport,-2.20,902.39,,,
"Jun 2, 2025",Sushi Daily,Restaurants,-17.25,885.14,,,
"Jun 6, 2025",Top-Up by *4523,Transfers,300.00,"1,185.14",,,
"Jun 6, 2025",Carrefour Express,Groceries,-42.25,"1,142.89",,,
"Jun 7, 2025",Lidl,Groceries,-44.12,"1,098.77",,,
"Jun 10, 2025",ATM Milano,Transport,-2.20,"1,096.57",,,
"Jun 14, 2025",Netflix.com,Entertainment,-12.99,"1,083.58",,,
"Jun 15, 2025",Carrefour Express,Groceries,-44.03,"1,039.55",,,
"Jun 20, 2025",Spotify,Entertainment,-10.99,"1,028.56",,,
"Jun 27, 2025",Trenord,Transport,-2.20,"1,026.36",,,
"Jun 27, 2025",ATM Milano,Transport,-2.20,"1,024.16",,,
"Jul 6, 2025",Top-Up by *4523,Transfers,300.00,"1,324.16",,,
"Jul 6, 2025",Carrefour Express,Groceries,-15.10,"1,309.06",,,
"Jul 8, 2025",Trenord,Transport,-2.20,"1,306.86",,,
"Jul 11, 2025",Carrefour Express,Groceries,-32.68,"1,274.18",,,
"Jul 14, 2025",Netflix.com,Entertainment,-12.99,"1,261.19",,,
"Jul 14, 2025",Penny Market,Groceries,-33.80,"1,227.39",,,
"Jul 16, 2025",Trenord,Transport,-2.20,"1,225.19",,,
"Jul 19, 2025",Sushi Daily,Restaurants,-47.35,"1,177.84",,,
"Jul 20, 2025",Spotify,Entertainment,-10.99,"1,166.85",,,
"Jul 21, 2025",Pizzeria Spontini,Restaurants,-35.18,"1,131.67",,,
"Jul 23, 2025",Sushi Daily,Restaurants,-43.41,"1,088.26",,,
"Jul 27, 2025",Trenord,Transport,-2.20,"1,086.06",,,
"Aug 6, 2025",Top-Up by *4523,Transfers,300.00,"1,386.06",,,
"Aug 7, 2025",Trenord,Transport,-2.20,"1,383.86",,,
"Aug 9, 2025",Carrefour Express,Groceries,-41.95,"1,341.91",,,
"Aug 9, 2025",ATM Withdrawal Lisboa,Cash,-60.00,"1,279.91",,,€2.00
"Aug 10, 2025",To Giulia Verdi,Transfers,-52.79,"1,227.12",,,
"Aug 12, 2025",Bar Luce,Cafes,-52.70,"1,174.42",,,
"Aug 14, 2025",Netflix.com,Entertainment,-12.99,"1,161.43",,,
"Aug 16, 2025",Lidl,Groceries,-12.93,"1,148.50",,,
"Aug 16, 2025",Trenord,Transport,-2.20,"1,146.30",,,
"Aug 18, 2025",Bar Luce,Cafes,-54.44,"1,091.86",,,
"Aug 19, 2025",Trenord,Transport,-2.20,"1,089.66",,,
"Aug 20, 2025",Spotify,Entertainment,-10.99,"1,078.67",,,
"Sep 2, 2025",Bar Luce,Cafes,-12.86,"1,065.81",,,
"Sep 6, 2025",Top-Up by *4523,Transfers,300.00,"1,365.81",,,
"Sep 6, 2025",Penny Market,Groceries,-44.29,"1,321.52",,,
"Sep 6, 2025",Sushi Daily,Restaurants,-48.88,"1,272.64",,,
"Sep 10, 2025",ATM Milano,Transport,-2.20,"1,270.44",,,
"Sep 12, 2025",Trenord,Transport,-2.20,"1,268.24",,,
"Sep 13, 2025",To Giulia Verdi,Transfers,-30.19,"1,238.05",,,
"Sep 14, 2025",Netflix.com,Entertainment,-12.99,"1,225.06",,,
"Sep 14, 2025",Pizzeria Spontini,Restaurants,-36.23,"1,188.83",,,
"Sep 20, 2025",Spotify,Entertainment,-10.99,"1,177.84",,,
"Sep 23, 2025",Penny Market,Groceries,-33.13,"1,144.71",,,
"Sep 25, 2025",Penny Market,Groceries,-14.11,"1,130.60",,,
"Oct 2, 2025",Trenord,Transport,-2.20,"1,128.40",,,
"Oct 4, 2025",Trenord,Transport,-2.20,"1,126.20",,,
"Oct 6, 2025",Top-Up by *4523,Transfers,300.00,"1,426.20",,,
"Oct 9, 2025",Carrefour Express,Groceries,-11.77,"1,414.43",,,
"Oct 14, 2025",Netflix.com,Entertainment,-12.99,"1,401.44",,,
"Oct 14, 2025",To Giulia Verdi,Transfers,-43.60,"1,357.84",,,
"Oct 17, 2025",Trenord,Transport,-2.20,"1,355.64",,,
"Oct 20, 2025",Spotify,Entertainment,-10.99,"1,344.65",,,
"Oct 20, 2025",Lidl,Groceries,-33.55,"1,311.10",,,
"Oct 21, 2025",Bar Luce,Cafes,-46.05,"1,265.05",,,
"Oct 23, 2025",Trenord,Transport,-2.20,"1,262.85",,,
"Oct 27, 2025",Bar Luce,Cafes,-10.89,"1,251.96",,,
"Nov 5, 2025",ATM Milano,Transport,-2.20,"1,249.76",,,
"Nov 6, 2025",Top-Up by *4523,Transfers,300.00,"1,549.76",,,
"Nov 12, 2025",ATM Milano,Transport,-2.20,"1,547.56",,,
"Nov 14, 2025",Netflix.com,Entertainment,-12.99,"1,534.57",,,
"Nov 16, 2025",Bar Luce,Cafes,-21.46,"1,513.11",,,
"Nov 19, 2025",Penny Market,Groceries,-27.64,"1,485.47",,,
"Nov 19, 2025",Bar Luce,Cafes,-24.22,"1,461.25",,,
"Nov 20, 2025",Spotify,Entertainment,-10.99,"1,450.26",,,
"Nov 23, 2025",Penny Market,Groceries,-29.52,"1,420.74",,,
"Nov 25, 2025",ATM Milano,Transport,-2.20,"1,418.54",,,
"Dec 6, 2025",Top-Up by *4523,Transfers,300.00,"1,718.54",,,
"Dec 7, 2025",ATM Milano,Transport,-2.20,"1,716.34",,,
"Dec 10, 2025",ATM Milano,Transport,-2.20,"1,714.14",,,
"Dec 11, 2025",Penny Market,Groceries,-39.83,"1,674.31",,,
"Dec 14, 2025",Netflix.com,Entertainment,-12.99,"1,661.32",,,
"Dec 14, 2025",Carrefour Express,Groceries,-24.67,"1,636.65",,,
"Dec 20, 2025",Spotify,Entertainment,-10.99,"1,625.66",,,
"Dec 20, 2025",Sushi Daily,Restaurants,-37.57,"1,588.09",,,
"Dec 20, 2025",To Giulia Verdi,Transfers,-18.38,"1,569.71",,,
"Dec 25, 2025",Bar Luce,Cafes,-13.56,"1,556.15",,,
"Jan 6, 2026",Top-Up by *4523,Transfers,300.00,"1,856.15",,,
"Jan 6, 2026",To Giulia Verdi,Transfers,-53.60,"1,802.55",,,
"Jan 7, 2026",Sushi Daily,Restaurants,-54.86,"1,747.69",,,
"Jan 10, 2026",Carrefour Express,Groceries,-29.32,"1,718.37",,,
"Jan 12, 2026",Trenord,Transport,-2.20,"1,716.17",,,
"Jan 13, 2026",Trenord,Transport,-2.20,"1,713.97",,,
"Jan 14, 2026",Netflix.com,Entertainment,-12.99,"1,700.98",,,
"Jan 17, 2026",Lidl,Groceries,-27.20,"1,673.78",,,
"Jan 20, 2026",Spotify,Entertainment,-10.99,"1,662.79",,,
