transaction_id,date,type,status,currency,amount,fee,tax,name,description,counterparty_name,category,mcc_code,asset_class,isin
79699ed2ec48bf55,2025-01-04,DEPOSIT,EXECUTED,EUR,400.00,,,Mario Bianchi,Incoming bank transfer,Mario Bianchi,transfer,,,
175a81ec112fa612,2025-01-15,TRADE,EXECUTED,EUR,-200.00,,,iShares Core MSCI World USD Acc,Savings plan execution,,funds,,ETF,IE00B4L5Y983
15da705cd4ef00aa,2025-01-19,CARD_PAYMENT,EXECUTED,EUR,-48.10,,,Amazon EU,Card payment,,card,5942,,
6e8f75a117dded81,2025-01-28,INTEREST,EXECUTED,EUR,2.08,,-0.54,Trade Republic,Interest payout,,interest,,,
be9d61ee18b87245,2025-02-04,DEPOSIT,EXECUTED,EUR,400.00,,,Mario Bianchi,Incoming bank transfer,Mario Bianchi,transfer,,,
5f65c8cebd21bc11,2025-02-15,TRADE,EXECUTED,EUR,-200.00,,,iShares Core MSCI World USD Acc,Savings plan execution,,funds,,ETF,IE00B4L5Y983
214f3f12cfd01cbd,2025-02-22,CARD_PAYMENT,EXECUTED,EUR,-64.76,,,Amazon EU,Card payment,,card,5942,,
0f5ae9d38e6e5003,2025-02-28,INTEREST,EXECUTED,EUR,2.50,,-0.65,Trade Republic,Interest payout,,interest,,,
f4e559e596229348,2025-03-04,DEPOSIT,EXECUTED,EUR,400.00,,,Mario Bianchi,Incoming bank transfer,Mario Bianchi,transfer,,,
8fca7b6a8fc42092,2025-03-05,CARD_PAYMENT,EXECUTED,EUR,-21.42,,,Esselunga Milano,Card payment,,card,5411,,
ab85fd595463adc7,2025-03-09,TRADE,EXECUTED,EUR,-500.00,-1.00,,Vanguard FTSE All-World UCITS,Buy order,,funds,,ETF,IE00B3RBWM25
692ac1391f4a8ca1,2025-03-15,TRADE,EXECUTED,EUR,-200.00,,,iShares Core MSCI World USD Acc,Savings plan execution,,funds,,ETF,IE00B4L5Y983
dfa4bb9f5a856750,2025-03-27,CARD_PAYMENT,EXECUTED,EUR,-57.08,,,REWE Berlin,Card payment,,card,5411,,
f0ede303aa53c19c,2025-03-28,INTEREST,EXECUTED,EUR,2.63,,-0.68,Trade Republic,Interest payout,,interest,,,
6c4596f6c012a0ff,2025-04-04,DEPOSIT,EXECUTED,EUR,400.00,,,Mario Bianchi,Incoming bank transfer,Mario Bianchi,transfer,,,
ea74bb18de3b496f,2025-04-04,CARD_PAYMENT,EXECUTED,EUR,-14.11,,,REWE Berlin,Card payment,,card,5411,,
0d2b91efb8976ec5,2025-04-15,TRADE,EXECUTED,EUR,-200.00,,,iShares Core MSCI World USD Acc,Savings plan execution,,funds,,ETF,IE00B4L5Y983
49a214aef7e8f8e5,2025-04-28,INTEREST,EXECUTED,EUR,1.70,,-0.44,Trade Republic,Interest payout,,interest,,,
4ffca6b199b479d4,2025-05-04,DEPOSIT,EXECUTED,EUR,400.00,,,Mario Bianchi,Incoming bank transfer,Mario Bianchi,transfer,,,
1a85910d5a057c11,2025-05-12,CARD_PAYMENT,EXECUTED,EUR,-12.65,,,Esselunga Milano,Card payment,,card,5411,,
81e5c9f693f277cc,2025-05-15,TRADE,EXECUTED,EUR,-200.00,,,iShares Core MSCI World USD Acc,Savings plan execution,,funds,,ETF,IE00B4L5Y983
279c658a36760ce5,2025-05-15,CARD_PAYMENT,EXECUTED,EUR,-15.54,,,REWE Berlin,Card payment,,card,5411,,
7b70c3b8a81fdec3,2025-05-28,INTEREST,EXECUTED,EUR,2.51,,-0.65,Trade Republic,Interest payout,,interest,,,
d8e7012f39681c81,2025-06-04,DEPOSIT,EXECUTED,EUR,400.00,,,Mario Bianchi,Incoming bank transfer,Mario Bianchi,transfer,,,
59a1120e1bb43332,2025-06-09,TRADE,EXECUTED,EUR,-500.00,-1.00,,Vanguard FTSE All-World UCITS,Buy order,,funds,,ETF,IE00B3RBWM25
8e676a01d86a6460,2025-06-15,TRADE,EXECUTED,EUR,-200.00,,,iShares Core MSCI World USD Acc,Savings plan execution,,funds,,ETF,IE00B4L5Y983
1d691fba5e187b24,2025-06-18,CARD_PAYMENT,EXECUTED,EUR,-31.07,,,Esselunga Milano,Card payment,,card,5411,,
47503f1dc33a1f6c,2025-06-28,INTEREST,EXECUTED,EUR,2.19,,-0.57,Trade Republic,Interest payout,,interest,,,
39e58ff092f837d4,2025-07-04,DEPOSIT,EXECUTED,EUR,400.00,,,Mario Bianchi,Incoming bank transfer,Mario Bianchi,transfer,,,
6dda4f8dcea60f4c,2025-07-09,CARD_PAYMENT,EXECUTED,EUR,-50.37,,,REWE Berlin,Card payment,,card,5411,,
